time,f
0,-54.630888383113046
100,-55.81346735230551
200,-55.818199311735356
300,-55.820819552242995
400,-55.823192405454876
500,-55.825715370815956
600,-55.82857379665538
700,-55.83190516143259
800,-55.835842311695856
900,-55.840531299521004
1000,-55.84614230664196
1100,-55.85287895439259
1200,-55.86098810800515
1300,-55.87077137518946
1400,-55.8825992933499
1500,-55.89692929418105
1600,-55.914328825079835
1700,-55.93550549410302
1800,-55.96134684574629
1900,-55.99297347634075
2000,-56.03181083087641
2100,-56.07968744141153
2200,-56.13897092726393
2300,-56.21275822569441
2400,-56.30514366397915
2500,-56.421597492731664
2600,-56.56949629834137
2700,-56.75884780807449
2800,-57.003226345147134
2900,-57.32084222690637
3000,-57.73546024644838
3100,-58.27657914062313
3200,-58.978133648664326
3300,-59.875437802634885
3400,-61.001125096120354
3500,-62.381269543546466
3600,-64.03186882558683
3700,-65.95507848961044
3800,-68.13546186496129
3900,-70.53748621135279
4000,-73.10527821885995
4100,-75.7651362697525
4200,-78.43119441262351
4300,-81.01450053373095
4400,-83.4348007569574
4500,-85.6324053378076
4600,-87.57587757411468
4700,-89.26233320171634
4800,-90.71107238284196
4900,-91.95448332725083
5000,-93.030094902465
5100,-93.97531817342214
5200,-94.82415431419192
5300,-95.60472578746909
5400,-96.33762187841192
5500,-97.03585755744413
5600,-97.70661649700133
5700,-98.3536050928977
5800,-98.97849504342095
5900,-99.58065390484859
6000,-100.15556699776376
6100,-100.69480179255535
6200,-101.19006035977014
6300,-101.63803958964311
6400,-102.04150735040827
6500,-102.4071756374013
6600,-102.74313298439489
6700,-103.05722738244953
6800,-103.3564614463205
6900,-103.64694384651762
7000,-103.93397606670102
7100,-104.22211404400258
7200,-104.51514648796189
7300,-104.8157861548332
7400,-105.12487588512771
7500,-105.44062857582668
7600,-105.75919216568522
7700,-106.07652825878881
7800,-106.38959401015762
7900,-106.69602016906185
8000,-106.99374807953374
8100,-107.28161867705494
8200,-107.56006297683626
8300,-107.83104635206325
8400,-108.09751260623894
8500,-108.36270321071495
8600,-108.62933398140419
8700,-108.898683894588
8800,-109.17024509423223
8900,-109.44247011758114
9000,-109.71367135986597
9100,-109.98196700343269
9200,-110.24514934369893
9300,-110.50149887583713
9400,-110.75046656656923
9500,-110.99204698054098
9600,-111.22552131056436
9700,-111.44914253016485
9800,-111.66126664595242
9900,-111.86161619292253
10000,-112.05156764521367
10100,-112.2337817523818
10200,-112.41177783775333
10300,-112.58958394861978
10400,-112.77126466403158
10500,-112.96002833294051
10600,-113.15692410092097
10700,-113.3602031109501
10800,-113.56672471612224
10900,-113.77421231055368
11000,-113.98170812010372
11100,-114.18822822274524
11200,-114.39174501142624
11300,-114.58983454918376
11400,-114.78106640883664
11500,-114.96551015091896
11600,-115.14423098809462
11700,-115.31859169219271
11800,-115.48982858147568
11900,-115.65889978285966
12000,-115.82647263910407
12100,-115.99295800819834
12200,-116.15855767604604
12300,-116.32332171180418
12400,-116.48721679229949
12500,-116.65019917910007
12600,-116.81228166609885
12700,-116.97358734710133
12800,-117.13438998519393
12900,-117.29514547712347
13000,-117.4565199657018
13100,-117.61941845330979
13200,-117.78501203514318
13300,-117.95474486013305
13400,-118.13025774458072
13500,-118.31308149174569
13600,-118.50390866965904
13700,-118.70159154401155
13800,-118.90290060866488
13900,-119.10399417799667
14000,-119.30243626092901
14100,-119.49793317257121
14200,-119.69177007900564
14300,-119.88571050254232
14400,-120.08068091542356
14500,-120.27568910309616
14600,-120.46805962251221
14700,-120.65512834269668
14800,-120.83560230843344
14900,-121.00953134749813
15000,-121.17765874990373
15100,-121.34093678664588
15200,-121.50033022770205
15300,-121.65678008267571
15400,-121.81122106935071
15500,-121.96460504137141
15600,-122.11791655333433
15700,-122.27217867468377
15800,-122.4284484438256
15900,-122.58780006752991
16000,-122.75129401235023
16100,-122.91993158952062
16200,-123.09459478929952
16300,-123.27596872528517
16400,-123.46444545293491
16500,-123.66002465179295
16600,-123.86225726749512
16700,-124.07029231152566
16800,-124.2830489462699
16900,-124.49946254686934
17000,-124.71871489376286
17100,-124.94039000308776
17200,-125.16455598502552
17300,-125.39180785278296
17400,-125.6233080865528
17500,-125.8608457925591
17600,-126.10690795560231
17700,-126.3647062429004
17800,-126.63800243297487
17900,-126.93041268697712
18000,-127.24378774569035
18100,-127.57573667686611
18200,-127.91775125726247
18300,-128.2564879250785
18400,-128.5786482828139
18500,-128.87556531891985
18600,-129.1441119728869
18700,-129.38501327125658
18800,-129.6009160207916
18900,-129.7951371544076
19000,-129.97101714742595
19100,-130.13163131611725
19200,-130.27968868618353
19300,-130.41752297430966
19400,-130.5471257148986
19500,-130.67019847762606
19600,-130.78821483231312
19700,-130.9024875108385
19800,-131.01423680229794
19900,-131.12465499425542
20000,-131.23495704717342
20100,-131.34639372039746
20200,-131.4601720769513
20300,-131.57718734310345
20400,-131.69750107388637
20500,-131.81978380843503
20600,-131.9413671901245
20700,-132.05924481488256
20800,-132.17123241803804
20900,-132.27636228402926
21000,-132.37459861807818
21100,-132.466408786753
21200,-132.5524615575868
21300,-132.63346677771239
21400,-132.71010202569457
21500,-132.782982985112
21600,-132.85265431680847
21700,-132.91959017872023
21800,-132.98419943580035
21900,-133.0468331053224
22000,-133.10779263243282
22100,-133.16733810468824
22200,-133.22569584993835
22300,-133.28306512470465
22400,-133.3396238059625
22500,-133.39553314656612
22600,-133.4509417483876
22700,-133.5059889599651
22800,-133.5608079316835
22900,-133.6155285737465
23000,-133.67028066935157
23100,-133.7251974033156
23200,-133.78041957788147
23300,-133.83610080015816
23400,-133.89241392266027
23500,-133.94955894862693
23600,-134.00777236170495
23700,-134.0673372003239
23800,-134.12859192092375
23900,-134.191934153016
24000,-134.2578136964264
24100,-134.32671002487157
24200,-134.3990963820513
24300,-134.4754047444254
24400,-134.55601434605404
24500,-134.64127937020055
24600,-134.73159078788433
24700,-134.82745042347645
24800,-134.92953176771715
24900,-135.03869897783989
25000,-135.155931428089
25100,-135.2820566459472
25200,-135.41721240777696
25300,-135.56024543774583
25400,-135.7087427903985
25500,-135.8601062046689
25600,-136.0127830886463
25700,-136.1665396900671
25800,-136.32178321636297
25900,-136.47848927468849
26000,-136.63533252959178
26100,-136.78977366204091
26200,-136.9392144284912
26300,-137.08210354531383
26400,-137.21814412844253
26500,-137.34792749966917
26600,-137.47254490655158
26700,-137.59335614798562
26800,-137.71188300298812
26900,-137.8297754098824
27000,-137.94882151128698
27100,-138.07098021836177
27200,-138.19839111732298
27300,-138.3332376210106
27400,-138.47719340503295
27500,-138.63017491682947
27600,-138.7889446383099
27700,-138.9475312252835
27800,-139.10014462762584
27900,-139.24375383130172
28000,-139.37830309712686
28100,-139.50560013882492
28200,-139.62824998958928
28300,-139.74905317598896
28400,-139.87078341306403
28500,-139.99618387971765
28600,-140.12806294222574
28700,-140.26939425756302
28800,-140.42328396335802
28900,-140.59253740470044
29000,-140.77845957357522
29100,-140.9790345324491
29200,-141.18819708725982
29300,-141.39817099101109
29400,-141.60325124322594
29500,-141.80128730191623
29600,-141.99219265478519
29700,-142.17560957672111
29800,-142.34991085095777
29900,-142.51316262666035
30000,-142.6645162277408
30100,-142.80453276599053
30200,-142.93471234756743
30300,-143.05699704692213
30400,-143.1735023421025
30500,-143.28641703343527
30600,-143.397983832114
30700,-143.5105051647393
30800,-143.62631894393002
30900,-143.74764429442013
31000,-143.87614641561413
31100,-144.01220528481
31200,-144.15444972001706
31300,-144.30046126398176
31400,-144.44824413396174
31500,-144.59675902672785
31600,-144.74509515050522
31700,-144.89155272047523
31800,-145.03381311545868
31900,-145.16997038736548
32000,-145.2992975761467
32100,-145.4222821549531
32200,-145.5402898053056
32300,-145.6552278963642
32400,-145.7692871478307
32500,-145.884644071621
32600,-146.00290816505435
32700,-146.12420909831673
32800,-146.246487356127
32900,-146.36617683713297
33000,-146.48012184699547
33100,-146.58679646503973
33200,-146.68610802971824
33300,-146.778715603416
33400,-146.86555431593044
33500,-146.94762080881893
33600,-147.02589646613967
33700,-147.10132434199974
33800,-147.17480533587963
33900,-147.24720294189632
34000,-147.31935415603778
34100,-147.39208647229026
34200,-147.4662415976863
34300,-147.54270698270702
34400,-147.6224567158162
34500,-147.7066032289826
34600,-147.79645871358906
34700,-147.893594861281
34800,-147.99985898684008
34900,-148.11723468899342
35000,-148.24734333766787
35100,-148.39047113652447
35200,-148.54461859754082
35300,-148.70557854149268
35400,-148.86800179876764
35500,-149.02656410111692
35600,-149.17717163969388
35700,-149.31782391459203
35800,-149.44846239352177
35900,-149.57018171664967
36000,-149.6845025453512
36100,-149.79294976012204
36200,-149.8968813005826
36300,-149.99746534782062
36400,-150.0957313702506
36500,-150.19264920620947
36600,-150.2892084260439
36700,-150.38647585242944
36800,-150.48559583225853
36900,-150.58765773759552
37000,-150.69330965171875
37100,-150.80208666580359
37200,-150.91187752176057
37300,-151.01937768932208
37400,-151.12152386088857
37500,-151.21657914435326
37600,-151.30412904834967
37700,-151.3845356884898
37800,-151.45846579488614
37900,-151.52664187000224
38000,-151.58974529146542
38100,-151.64838987682447
38200,-151.70312092174441
38300,-151.75442100095395
38400,-151.80271632816235
38500,-151.84838226998733
38600,-151.89174807828226
38700,-151.9331011639301
38800,-151.9726911447704
38900,-152.0107337648493
39000,-152.04741468665
39100,-152.0828931108707
39200,-152.11730516665324
39300,-152.15076702380233
39400,-152.18337769587248
39500,-152.21522152169507
39600,-152.24637032909004
39700,-152.27688529660287
39800,-152.3068185370039
39900,-152.33621443054898
40000,-152.36511073745734
40100,-152.39353951854523
40200,-152.42152789116204
40300,-152.44909864505235
40400,-152.47627073989577
40500,-152.50305970330885
40600,-152.52947794518641
40700,-152.5555350014978
40800,-152.58123771808138
40900,-152.60659038261733
41000,-152.6315948108128
41100,-152.65625039091242
41200,-152.68055408897004
41300,-152.70450041590425
41400,-152.72808135626474
41500,-152.7512862579301
41600,-152.77410168177363
41700,-152.79651121087846
41800,-152.8184952205003
41900,-152.84003061321044
42000,-152.8610905293649
42100,-152.88164405257749
42200,-152.90165594525558
42300,-152.92108647350656
42400,-152.93989141815274
42500,-152.95802242501395
42600,-152.97542793011374
42700,-152.99205501083622
42800,-153.00785266441932
42900,-153.02277718772717
43000,-153.0368004795982
43100,-153.0499220961704
43200,-153.06218554891282
43300,-153.07369834039758
43400,-153.08465332145704
43500,-153.0953462708105
43600,-153.10618222211633
43700,-153.11766311643314
43800,-153.13035378011182
43900,-153.1448313077093
44000,-153.16163021295415
44100,-153.18119711563222
44200,-153.20386352773886
44300,-153.22983774187026
44400,-153.25921157951473
44500,-153.2919761809541
44600,-153.3280417663979
44700,-153.367257713799
44800,-153.40943058281175
44900,-153.45433876476645
45000,-153.50174338934707
45100,-153.55139602907897
45200,-153.6030444473
45300,-153.65643780742553
45400,-153.71133223260983
45500,-153.76749667285645
45600,-153.82471833316262
45700,-153.88280685363267
45800,-153.94159684301349
45900,-154.0009487720565
46000,-154.06074837363468
46100,-154.12090470142314
46200,-154.1813471061397
46300,-154.24202162880724
46400,-154.3028874926504
46500,-154.36391431562706
46600,-154.4250803734251
46700,-154.4863718904537
46800,-154.54778310258803
46900,-154.60931678863818
47000,-154.67098506128696
47100,-154.73281034849876
47200,-154.79482660907954
47300,-154.85708088510447
47400,-154.9196353125846
47500,-154.982569719996
47600,-155.04598497121933
47700,-155.1100072764876
47800,-155.17479381765133
47900,-155.24054022719943
48000,-155.30749074169472
48100,-155.37595223531778
48200,-155.44631381036882
48300,-155.51907401613818
48400,-155.59487742972124
48500,-155.67455910584678
48600,-155.75918302057264
48700,-155.85002363656608
48800,-155.9483530794476
48900,-156.05478132328201
49000,-156.1680450052542
49100,-156.28411418531024
49200,-156.3973138735632
49300,-156.50305335921345
49400,-156.59939479512008
49500,-156.6866160975311
49600,-156.76610805084647
49700,-156.83957638923494
49800,-156.90866635318807
49900,-156.9748462889748
50000,-157.03941045521367
50100,-157.1035275028851
50200,-157.16830263648473
50300,-157.23483905132136
50400,-157.30428472081013
50500,-157.37783316648742
50600,-157.45660585131503
50700,-157.541297805834
50800,-157.63154477420687
50900,-157.72539212731317
51000,-157.81967949803328
51100,-157.91141161916374
51200,-157.9988717567708
51300,-158.0816850301483
51400,-158.16030715327466
51500,-158.23555482303397
51600,-158.3083488460384
51700,-158.37960736505696
51800,-158.4502055177094
51900,-158.52095062899994
52000,-158.59254853621815
52100,-158.66555282589107
52200,-158.74030210058046
52300,-158.81686464003485
52400,-158.89501992088077
52500,-158.9743008098073
52600,-159.0540942070491
52700,-159.1337669379356
52800,-159.21277283249688
52900,-159.29071346545277
53000,-159.36735181430652
53100,-159.44259524182547
53200,-159.51646662643415
53300,-159.5890765937226
53400,-159.6606029741201
53500,-159.73127915602208
53600,-159.801391091776
53700,-159.87128242655467
53800,-159.94136767018372
53900,-160.01215383173016
54000,-160.08427059773285
54100,-160.15850586733532
54200,-160.23583179160616
54300,-160.3173741366163
54400,-160.40420951122297
54500,-160.4968078155898
54600,-160.59412289901059
54700,-160.6930878268915
54800,-160.78961155308895
54900,-160.88046593873094
55000,-160.9641989148908
55100,-161.04077844977533
55200,-161.11089611666353
55300,-161.1754747474841
55400,-161.23542261249048
55500,-161.29154073680846
55600,-161.344505081206
55700,-161.39487863568328
55800,-161.4431317447161
55900,-161.48966190489386
56000,-161.53481045954024
56100,-161.578876123441
56200,-161.622126049908
56300,-161.66480524832056
56400,-161.7071450607337
56500,-161.74937130637588
56600,-161.79171266615498
56700,-161.83440991810127
56800,-161.87772674301732
56900,-161.92196297335175
57000,-161.96747128117903
57100,-162.01467816322543
57200,-162.06410903715079
57300,-162.11641362917172
57400,-162.17237762208947
57500,-162.23288211881032
57600,-162.2987275542293
57700,-162.3702046134825
57800,-162.44642799414254
57900,-162.52493217715585
58000,-162.60230697284166
58100,-162.67562828377882
58200,-162.7433552482683
58300,-162.80519106424805
58400,-162.86152048580746
58500,-162.91296535652208
58600,-162.96016232064923
58700,-163.00368519886587
58800,-163.04403288950488
58900,-163.08163915593346
59000,-163.11688609744584
59100,-163.15011557424066
59200,-163.181637757437
59300,-163.2117374437396
59400,-163.24067895205167
59500,-163.26871022528232
59600,-163.2960665285219
59700,-163.32297395503147
59800,-163.3496528266641
59900,-163.37632098258786
60000,-163.40319686271394
60100,-163.43050218467886
60200,-163.45846386248832
60300,-163.48731460284688
60400,-163.51729133835477
60500,-163.5486303497873
60600,-163.58155770674398
60700,-163.61627376221537
60800,-163.65293126310297
60900,-163.69160859043126
61000,-163.73228272747147
61100,-163.77480976136465
61200,-163.8189218149129
61300,-163.86424598929563
61400,-163.91034330921224
61500,-163.95675765774234
61600,-164.00306136112036
61700,-164.04888724739374
61800,-164.09394377988679
61900,-164.13801581318606
62000,-164.18095624547036
62100,-164.22267367436257
62200,-164.26311961955926
62300,-164.30227721477934
62400,-164.34015206086144
62500,-164.3767652388633
62600,-164.41214817208325
62700,-164.4463389416524
62800,-164.47937968589778
62900,-164.51131478014636
63000,-164.54218956600482
63100,-164.57204946253518
63200,-164.60093934176598
63300,-164.6289030880199
63400,-164.65598328676944
63500,-164.68222100667364
63600,-164.70765565037752
63700,-164.73232485740962
63800,-164.7562644474957
63900,-164.77950839580822
64000,-164.80208883378629
64100,-164.824036070631
64200,-164.84537863167438
64300,-164.86614331069285
64400,-164.88635523396098
64500,-164.90603793446195
64600,-164.9252134352105
64700,-164.94390234113038
64800,-164.96212393940334
64900,-164.979896308722
65000,-164.9972364384986
65100,-165.01416035987228
65200,-165.03068329138284
65300,-165.04681980349804
65400,-165.06258400785902
65500,-165.07798977922482
65600,-165.09305102077383
65700,-165.10778198685074
65800,-165.12219768167267
65900,-165.13631435818027
66000,-165.15015014823615
66100,-165.1637258633923
66200,-165.17706601316627
66300,-165.1902000920563
66400,-165.20316418109797
66500,-165.21600288324413
66600,-165.22877154573945
66700,-165.2415385909326
66800,-165.25438755203268
66900,-165.26741808431856
67000,-165.28074485373193
67100,-165.29449298464033
67200,-165.30878902815178
67300,-165.32374756140433
67400,-165.33945552690795
67500,-165.35595842268972
67600,-165.37325298833133
67700,-165.39128918206546
67800,-165.4099807871316
67900,-165.4292209834253
68000,-165.44889827633136
68100,-165.46890926218785
68200,-165.4891666373702
68300,-165.5096024926088
68400,-165.53016785846734
68500,-165.55082979797507
68600,-165.57156730895187
68700,-165.59236706064354
68800,-165.61321965338672
68900,-165.63411674799198
69000,-165.65504913438963
69100,-165.6760056310597
69200,-165.69697262728195
69300,-165.71793407810574
69400,-165.73887180788662
69500,-165.75976604082683
69600,-165.78059612628851
69700,-165.80134144068592
69800,-165.8219824208929
69900,-165.84250163142025
70000,-165.86288471838304
70100,-165.88312108495379
70200,-165.9032041465208
70300,-165.92313108127766
70400,-165.9429020671834
70500,-165.96251907699013
70600,-165.98198438467074
70700,-166.00129901433908
70800,-166.02046142047547
70900,-166.0394666946125
71000,-166.05830651481153
71100,-166.07696988202076
71200,-166.09544446444968
71300,-166.11371818533974
71400,-166.13178062673043
71500,-166.14962390773442
71600,-166.1672428792742
71700,-166.18463467028482
71800,-166.20179775668657
71900,-166.21873078679843
72000,-166.23543140423766
72100,-166.25189528750158
72200,-166.26811558708945
72300,-166.28408288368527
72400,-166.29978570762927
72500,-166.3152115537825
72600,-166.3303482185181
72700,-166.34518521162352
72800,-166.35971498482098
72900,-166.37393377560502
73000,-166.38784196651767
73100,-166.4014439673126
73200,-166.41474770825826
73300,-166.42776387353712
73400,-166.44050500868894
73500,-166.45298461856623
73600,-166.46521634553037
73700,-166.47721329026393
73800,-166.48898751321917
73900,-166.500549733566
74000,-166.51190922340922
74100,-166.52307387724142
74200,-166.5340504206623
74300,-166.54484471028547
74400,-166.55546207098791
74500,-166.56590761894591
74600,-166.57618652902875
74700,-166.58630422066938
74800,-166.5962664535013
74900,-166.60607933904424
75000,-166.61574928499928
75100,-166.62528289351292
75200,-166.6346868348259
75300,-166.64396771461602
75400,-166.65313194873093
75500,-166.66218565422815
75600,-166.67113456150213
75700,-166.67998394914716
75800,-166.68873860111012
75900,-166.6974027844861
76000,-166.70598024577657
76100,-166.71447422333696
76200,-166.72288747387907
76300,-166.73122231110133
76400,-166.73948065467766
76500,-166.74766408787215
76600,-166.75577392194472
76700,-166.76381126529154
76800,-166.7717770949833
76900,-166.7796723281104
77000,-166.78749789019525
77100,-166.79525477796628
77200,-166.80294411404083
77300,-166.81056719153415
77400,-166.81812550725533
77500,-166.82562078289664
77600,-166.83305497437937
77700,-166.8404302702042
77800,-166.84774908020017
77900,-166.85501401643504
78000,-166.8622278682334
78100,-166.8693935732576
78200,-166.87651418648016
78300,-166.88359284864907
78400,-166.89063275556396
78500,-166.89763712917804
78600,-166.90460919124436
78700,-166.91155213995782
78800,-166.91846912981666
78900,-166.92536325474308
79000,-166.93223753436405
79100,-166.93909490325336
79200,-166.94593820287335
79300,-166.95277017592022
79400,-166.95959346276317
79500,-166.96641059967456
79600,-166.97322401856368
79700,-166.98003604795144
79800,-166.9868489149523
79900,-166.99366474805998
80000,-167.00048558056412
80100,-167.0073133544534
80200,-167.01414992468784
80300,-167.02099706374594
80400,-167.0278564663729
80500,-167.03472975447406
80600,-167.0416184821112
80700,-167.04852414057146
80800,-167.05544816348714
80900,-167.06239193199167
81000,-167.06935677990214
81100,-167.0763439989217
81200,-167.08335484385753
81300,-167.0903905378521
81400,-167.09745227762403
81500,-167.10454123871855
81600,-167.1116585807641
81700,-167.1188054527348
81800,-167.12598299821627
81900,-167.13319236067503
82000,-167.1404346887308
82100,-167.1477111414327
82200,-167.15502289354146
82300,-167.16237114082128
82400,-167.16975710534652
82500,-167.1771820408294
82600,-167.18464723797842
82700,-167.19215402989545
82800,-167.199703797525
82900,-167.20729797516623
83000,-167.21493805606235
83100,-167.22262559808092
83200,-167.23036222949912
83300,-167.23814965490857
83400,-167.24598966125342
83500,-167.25388412401497
83600,-167.26183501355553
83700,-167.2698444016325
83800,-167.2779144680947
83900,-167.2860475077693
84000,-167.29424593755076
84100,-167.30251230369979
84200,-167.31084928936477
84300,-167.31925972233716
84400,-167.32774658305723
84500,-167.3363130128922
84600,-167.34496232271434
84700,-167.3536980018185
84800,-167.3625237272305
84900,-167.37144337347488
85000,-167.3804610228919
85100,-167.3895809766182
85200,-167.39880776637818
85300,-167.40814616726874
85400,-167.4176012117637
85500,-167.42717820521588
85600,-167.4368827431906
85700,-167.4467207310341
85800,-167.45669840615443
85900,-167.46682236358143
86000,-167.4770995854708
86100,-167.4875374753346
86200,-167.498143897912
86300,-167.50892722575347
86400,-167.51989639377481
86500,-167.53106096326212
86600,-167.54243119707587
86700,-167.5540181481304
86800,-167.5658337636285
86900,-167.57789100802748
87000,-167.59020400833748
87100,-167.60278822613034
87200,-167.61566066162845
87300,-167.62884009650128
87400,-167.6423473836197
87500,-167.65620579412132
87600,-167.6704414348887
87700,-167.68508375316844
87800,-167.70016614987213
87900,-167.7157267295423
88000,-167.73180922365677
88100,-167.74846413576
88200,-167.76575017311978
88300,-167.7837360520579
88400,-167.80250279548488
88500,-167.8221466854362
88600,-167.84278309624796
88700,-167.8645515233817
88800,-167.8876222490253
88900,-167.91220525887692
89000,-167.93856224664063
89100,-167.96702277708056
89200,-167.99800576119105
89300,-168.032046785352
89400,-168.0698289383977
89500,-168.11220537750484
89600,-168.16017651240864
89700,-168.21473024266453
89800,-168.276387642562
89900,-168.3443844073784
90000,-168.41597024624093
90100,-168.4868867872643
90200,-168.5531043689262
90300,-168.6122276227744
90400,-168.66359218299215
90500,-168.7076270943955
90600,-168.74522846064593
90700,-168.77738294220947
90800,-168.80499705340802
90900,-168.8288422957533
91000,-168.84955331422307
91100,-168.8676456209832
91200,-168.88353757525888
91300,-168.89757058149326
91400,-168.91002570912434
91500,-168.92113668174272
91600,-168.93109978444386
91700,-168.9400813536735
91800,-168.94822344624077
91900,-168.95564816541494
92000,-168.96246100517567
92100,-168.96875347652366
92200,-168.97460520515438
92300,-168.98008563504732
92400,-168.985255433445
92500,-168.99016766527654
92600,-168.99486878602903
92700,-168.99939948887578
92800,-169.00379543272297
92900,-169.0080878714444
93000,-169.01230420006172
93100,-169.01646843038571
93200,-169.0206016062589
93300,-169.0247221667632
93400,-169.02884626438873
93500,-169.03298804408743
93600,-169.03715988827332
93700,-169.04137263212394
93800,-169.04563575294907
93900,-169.04995753689664
94000,-169.0543452258421
94100,-169.05880514694266
94200,-169.06334282702548
94300,-169.06796309370296
94400,-169.07267016487273
94500,-169.07746772805135
94600,-169.08235901080982
94700,-169.0873468434197
94800,-169.0924337146811
94900,-169.09762182178068
95000,-169.1029131149234
95100,-169.1083093373869
95200,-169.113812061568
95300,-169.1194227215192
95400,-169.1251426424117
95500,-169.13097306730901
95600,-169.13691518158822
95700,-169.14297013530654
95800,-169.14913906377853
95900,-169.15542310659873
96000,-169.16182342532161
96100,-169.1683412199904
96200,-169.17497774469044
96300,-169.18173432228866
96400,-169.18861235851148
96500,-169.19561335550577
96600,-169.20273892502217
96700,-169.20999080135633
96800,-169.21737085418428
96900,-169.22488110142763
97000,-169.23252372228717
97100,-169.24030107058795
97200,-169.24821568858567
97300,-169.2562703213906
97400,-169.2644679321765
97500,-169.27281171835344
97600,-169.2813051288975
97700,-169.28995188304793
97800,-169.29875599060358
97900,-169.30772177407354
98000,-169.31685389297047
98100,-169.3261573705696
98200,-169.3356376235035
98300,-169.34530049462154
98400,-169.35515228961415
98500,-169.36519981799327
98600,-169.3754504391381
98700,-169.3859121142615
98800,-169.39659346534194
98900,-169.4075038423046
99000,-169.4186534000418
99100,-169.43005318725142
99200,-169.44171524956516
99300,-169.45365275006577
99400,-169.46588011108628
99500,-169.47841318219093
99600,-169.49126944051406
99700,-169.50446823125392
99800,-169.51803105818178
99900,-169.53198193666492
